booking_jurisdiction,regulator,amount,currency,channel,product_type,swift_mt,ordering_institution_bic,beneficiary_institution_bic,swift_f50_present,swift_f59_present,swift_f70_purpose,swift_f71_charges,travel_rule_complete,fx_indicator,fx_base_ccy,fx_quote_ccy,fx_applied_rate,fx_market_rate,fx_spread_bps,fx_counterparty,customer_type,customer_risk_rating,customer_is_pep,kyc_last_completed,kyc_due_date,edd_required,edd_performed,sow_documented,purpose_code,is_advised,product_complex,client_risk_profile,suitability_assessed,suitability_result,product_has_va_exposure,va_disclosure_provided,cash_id_verified,daily_cash_total_customer,daily_cash_txn_count,sanctions_screening,is_suspicious,suspicion_confidence,flagged
1,1,590012.92,4,4,3,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,0,1,False,188,189,False,True,True,6,False,False,2,True,0,False,True,True,0.0,1,1,0,0.0013980916,0
2,2,1319007.62,3,6,3,2,165,165,True,True,165,3,True,True,1,5,0.674205,0.673868,5,17,1,1,False,452,427,False,True,True,0,False,False,1,True,0,False,True,True,0.0,1,0,0,0.009437658,0
0,0,233935.3,3,2,5,1,43,45,True,True,110,0,True,True,2,6,0.96992,0.967501,25,114,0,1,False,306,605,False,True,True,3,False,False,2,True,0,False,True,True,0.0,1,1,0,0.0065736496,0
1,1,1778002.31,3,5,3,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,1,False,549,569,False,True,True,8,False,False,0,True,0,False,True,True,0.0,1,0,0,0.000563206,0
2,2,2479099.4,4,4,3,2,165,165,True,True,165,3,True,True,6,0,1.354146,1.352118,15,29,2,1,True,317,280,True,True,True,8,False,False,1,True,0,False,True,True,0.0,1,1,0,0.002160257,0
2,2,1991250.25,0,5,2,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,0,2,False,26,20,False,True,True,4,False,True,2,True,0,True,False,True,0.0,1,0,0,0.008495439,0
0,0,299182.31,1,2,4,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,1,False,269,276,False,True,True,5,False,False,0,True,0,False,True,True,0.0,1,0,0,0.003618318,0
1,1,9428.14,3,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,1,False,28,21,False,True,True,0,False,False,1,True,0,False,True,True,30585.96,5,1,0,0.017499387,0
2,2,1246895.32,4,3,2,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,2,False,458,475,False,True,True,3,False,True,1,True,0,False,True,True,0.0,1,1,0,0.000525545,0
0,0,20000.0,0,3,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,1,False,34,32,False,True,True,2,False,False,2,True,0,False,True,False,0.0,1,0,0,0.056391988,0
0,0,10238.77,5,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,2,False,683,687,False,True,True,5,False,False,2,True,0,False,True,False,30496.46,5,1,1,0.81222075,1
1,1,1891975.54,0,4,5,0,165,165,False,True,165,3,True,False,8,8,0.0,0.0,0,149,1,1,False,774,689,False,True,True,7,False,False,0,True,0,False,True,True,0.0,1,0,0,0.0019084568,0
1,1,5125.04,7,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,1,False,228,137,False,True,True,8,False,False,0,True,0,False,True,True,5125.04,1,1,0,0.0030230195,0
1,1,12396.34,7,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,1,False,425,415,False,True,True,1,False,False,0,True,0,False,True,True,20961.63,3,0,0,0.004379321,0
1,1,16571.13,0,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,0,False,438,454,True,True,True,2,False,False,0,True,0,False,True,True,16571.13,1,0,0,0.0014536738,0
2,2,1267232.73,5,6,3,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,0,True,144,65,True,True,True,0,False,False,1,True,0,False,True,True,0.0,1,1,0,0.15258422,0
2,2,34286.48,1,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,0,0,False,742,758,True,False,True,2,False,False,0,True,0,False,True,True,34286.48,1,0,0,0.0145267155,0
2,2,168674.28,1,3,5,0,111,164,True,True,90,0,True,False,8,8,0.0,0.0,0,149,0,1,False,495,513,False,True,True,0,False,False,0,True,0,False,True,True,0.0,1,1,0,0.0016148423,0
2,2,439477.04,4,3,5,0,165,165,True,True,165,3,False,False,8,8,0.0,0.0,0,149,1,0,False,251,233,True,False,True,5,False,True,0,True,0,False,True,True,0.0,1,1,0,0.006064396,0
1,1,1476760.69,3,5,3,2,165,165,True,True,165,3,True,True,7,5,0.729999,0.729634,5,145,0,0,False,562,466,True,False,True,6,False,False,2,True,0,False,True,True,0.0,1,1,0,0.02662208,0
1,1,155364.83,1,1,5,0,74,22,False,True,45,1,True,True,4,0,0.361211,0.36049,20,26,0,2,False,513,531,False,True,True,5,False,False,2,True,0,False,True,True,0.0,1,0,0,0.0020689366,0
0,0,22958.44,6,1,5,0,5,67,True,True,119,2,True,False,8,8,0.0,0.0,0,149,1,1,True,427,419,True,False,True,1,False,False,2,True,0,False,True,True,0.0,1,0,0,0.0084022125,0
1,1,2168.23,6,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,0,2,False,468,453,False,True,True,0,False,False,2,True,0,False,True,True,2168.23,1,0,0,0.0006350197,0
1,1,1910141.9,7,2,2,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,2,False,429,447,False,True,True,7,False,False,1,True,0,False,True,True,0.0,1,1,0,0.015501661,0
2,2,5562.81,6,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,0,2,False,461,477,False,True,True,3,False,False,0,True,0,False,True,False,5562.81,1,1,0,0.0074839806,0
2,2,211289.46,0,2,5,0,98,118,True,True,59,1,True,False,8,8,0.0,0.0,0,149,2,1,False,690,702,False,True,True,5,False,False,2,True,0,False,True,True,0.0,1,1,0,0.008005081,0
2,2,307132.95,0,2,5,0,165,165,True,True,165,3,False,False,8,8,0.0,0.0,0,149,2,2,False,529,550,False,True,True,3,False,False,1,True,0,False,True,True,0.0,1,0,0,0.01269873,0
2,2,856886.08,4,1,2,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,0,False,366,382,True,True,True,4,False,True,1,True,0,False,True,True,0.0,1,1,0,0.0008009632,0
1,1,15050.91,7,0,5,0,165,165,False,True,165,3,True,False,8,8,0.0,0.0,0,149,1,1,True,19,16,True,True,True,0,False,False,0,True,0,False,True,False,15050.91,1,1,0,0.009221233,0
0,0,20000.0,0,4,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,0,1,False,45,45,False,True,True,4,False,False,0,True,0,False,True,False,0.0,1,1,0,0.01840119,0
0,0,437444.06,4,2,2,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,0,True,389,381,True,True,False,1,False,False,1,True,0,False,True,True,0.0,1,0,0,0.02756914,0
1,1,9013.93,7,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,2,False,339,349,False,True,True,3,False,False,1,True,0,False,True,True,9013.93,1,1,0,0.004681616,0
2,2,23862.98,6,0,1,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,0,False,224,203,True,True,True,4,False,False,2,True,0,False,True,True,0.0,1,1,0,0.013887201,0
0,0,20000.0,0,0,0,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,1,False,291,298,False,True,True,7,False,False,2,True,0,False,True,False,10312.83,1,1,0,0.00022907757,0
1,1,96390.08,0,3,2,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,1,0,True,134,109,True,False,False,4,False,True,0,True,0,False,True,True,0.0,1,1,0,0.008711549,0
2,2,394061.52,3,2,4,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,2,False,123,134,False,True,True,0,False,False,1,True,0,False,True,True,0.0,1,1,0,0.0038201422,0
2,2,444985.03,3,3,4,2,165,165,True,True,165,3,True,False,8,8,0.0,0.0,0,149,2,0,False,528,549,True,True,True,3,False,False,1,True,0,False,True,True,0.0,1,1,1,0.90582335,1
